PID;SampleID;DryMassSmall_mg;DryMassLarge_mg;SampleBiomass_mg
P1;P1.1A;0;0;0
P1;P1.1B;0;0;0
P1;P1.2A;10;0;10
P1;P1.2B;13;0;13
P2;P2.1A;0;0;0
P2;P2.1B;0;0;0
P2;P2.2A;57;37;94
P2;P2.2B;0;0;0
P3;P3.1A;13;39;52
P3;P3.1B;99;15;114
P3;P3.2A;8;0;8
P3;P3.2B;0;0;0
P4;P4.1A;0;0;0
P4;P4.1B;97;136;233
P4;P4.2A;0;0;0
P4;P4.2B;142;38;180
P5;P5.1A;0;0;0
P5;P5.1B;0;0;0
P5;P5.2A;0;0;0
P5;P5.2B;0;0;0
P6;P6.1A;0;0;0
P6;P6.1B;0;0;0
P6;P6.2A;0;0;0
P6;P6.2B;0;0;0
P7;P7.1A;0;0;0
P7;P7.1B;93;3;96
P7;P7.2A;0;0;0
P7;P7.2B;54;11;65
P8;P8.1A;0;0;0
P8;P8.1B;0;0;0
P8;P8.2A;8;8;16
P8;P8.2B;12;8;20
P9;P9.1A;3;0;3
P9;P9.1B;0;0;0
P9;P9.2A;76;0;76
P9;P9.2B;15;57;72
P10;P10.1A;100;102;202
P10;P10.1B;437;16;453
P10;P10.2A;0;0;0
P10;P10.2B;0;0;0
P11;P11.1A;46,72;22,13;68,85
P11;P11.1B;144;67;211
P11;P11.2A;97;40;137
P11;P11.2B;61;0;61
P12;P12.1A;0;0;0
P12;P12.1B;31;0;31
P12;P12.2A;0;0;0
P12;P12.2B;0;0;0
P13;P13.1A;13;15;28
P13;P13.1B;27;0;27
P13;P13.2A;34;0;34
P13;P13.2B;0;0;0
P14;P14.1A;0;0;0
P14;P14.1B;0;0;0
P14;P14.2A;0;0;0
P14;P14.2B;0;0;0
P15;P15.1A;0;0;0
P15;P15.1B;0;0;0
P15;P15.2A;37;16;53
P15;P15.2B;151;0;151
P16;P16.1A;20;0;20
P16;P16.1B;33;0;33
P16;P16.2A;58;44;102
P16;P16.2B;54;60;114
P17;P17.1A;0;0;0
P17;P17.1B;109;6;115
P17;P17.2A;26;0;26
P17;P17.2B;53;0;53
P18;P18.1A;38;48;86
P18;P18.1B;138;111;249
P18;P18.2A;0;0;0
P18;P18.2B;0;0;0
P19;P19.1A;32;10;42
P19;P19.1B;0;0;0
P19;P19.2A;22;0;22
P19;P19.2B;56;0;56
P20;P20.1A;137;15;152
P20;P20.1B;154;41;195
P20;P20.2A;69;35;104
P20;P20.2B;386;16;402
P21;P21.1A;0;0;0
P21;P21.1B;0;0;0
P21;P21.2A;40;20;60
P21;P21.2B;79;8;87
P22;P22.1A;0;0;0
P22;P22.1B;0;0;0
P22;P22.2A;0;0;0
P22;P22.2B;221;234;455
P23;P23.1A;0;0;0
P23;P23.1B;0;0;0
P23;P23.2A;0;0;0
P23;P23.2B;29;16;45
P24;P24.1A;0;0;0
P24;P24.1B;0;0;0
P24;P24.2A;0;0;0
P24;P24.2B;259;11;270
P25;P25.1A;58;25;83
P25;P25.1B;72;11;83
P25;P25.2A;302;30;332
P25;P25.2B;173;19;192
P26;P26.1A;31;22;53
P26;P26.1B;25;66;91
P26;P26.2A;14;4;18
P26;P26.2B;170;0;170
P27;P27.1A;23;0;23
P27;P27.1B;67;7;74
P27;P27.2A;0;0;0
P27;P27.2B;67;10;77
P28;P28.1A;154;132;286
P28;P28.1B;18;86;104
P28;P28.2A;78;44;122
P28;P28.2B;54;13;67
P29;P29.1A;0;0;0
P29;P29.1B;0;0;0
P29;P29.2A;0;0;0
P29;P29.2B;112;0;112
P30;P30.1A;48;0;48
P30;P30.1B;60;98;158
P30;P30.2A;195;29;224
P30;P30.2B;1243;5;1248
P31;P31.1A;24;43;67
P31;P31.1B;25;8;33
P31;P31.2A;158;138;296
P31;P31.2B;54;67;121
P32;P32.1A;0;0;0
P32;P32.1B;0;0;0
P32;P32.2A;0;0;0
P32;P32.2B;0;0;0
P33;P33.1A;11;0;11
P33;P33.1B;16;0;16
P33;P33.2A;0;0;0
P33;P33.2B;0;0;0
P34;P34.1A;0;0;0
P34;P34.1B;0;0;0
P34;P34.2A;4;43;47
P34;P34.2B;185;184;369
P35;P35.1A;0;0;0
P35;P35.1B;0;0;0
P35;P35.2A;43;0;43
P35;P35.2B;40;0;40
P36;P36.1A;9;0;9
P36;P36.1B;17;0;17
P36;P36.2A;94;9;103
P36;P36.2B;106;11;117
P37;P37.1A;0;0;0
P37;P37.1B;78;0;78
P37;P37.2A;52;27;79
P37;P37.2B;0;0;0
P38;P38.1A;45;0;45
P38;P38.1B;53;65;118
P38;P38.2A;19;14;33
P38;P38.2B;15;74;89
P39;P39.1A;0;0;0
P39;P39.1B;51;30;81
P39;P39.2A;0;0;0
P39;P39.2B;0;0;0
P40;P40.1A;0;0;0
P40;P40.1B;37;21;58
P40;P40.2A;0;0;0
P40;P40.2B;60;0;60
P41;P41.1A;0;0;0
P41;P41.1B;0;0;0
P41;P41.2A;0;0;0
P41;P41.2B;0;0;0
P42;P42.1A;0;0;0
P42;P42.1B;0;0;0
P42;P42.2A;0;0;0
P42;P42.2B;66;119;185
P43;P43.1A;0;0;0
P43;P43.1B;6;0;6
P43;P43.2A;0;0;0
P43;P43.2B;0;0;0
P44;P44.1A;0;0;0
P44;P44.1B;0;0;0
P44;P44.2A;0;0;0
P44;P44.2B;4250;106;4356
P45;P45.1A;0;0;0
P45;P45.1B;0;0;0
P45;P45.2A;0;0;0
P45;P45.2B;0;0;0
P46;P46.1A;0;0;0
P46;P46.1B;0;0;0
P46;P46.2A;58;7;65
P46;P46.2B;124;16;140
P47;P47.1A;0;0;0
P47;P47.1B;0;0;0
P47;P47.2A;0;0;0
P47;P47.2B;1959;17;1976
P48;P48.1A;5;0;5
P48;P48.1B;76;0;76
P48;P48.2A;12;37;49
P48;P48.2B;79;15;94
P49;P49.1A;0;0;0
P49;P49.1B;52;0;52
P49;P49.2A;0;0;0
P49;P49.2B;101;12;113
P50;P50.1A;62;60;122
P50;P50.1B;919;11;930
P50;P50.2A;258;1;259
P50;P50.2B;2136;56;2192
P51;P51.1A;0;0;0
P51;P51.1B;292;86;378
P51;P51.2A;0;0;0
P51;P51.2B;405;605;1010
P52;P52.1A;0;0;0
P52;P52.1B;0;0;0
P52;P52.2A;53;162;215
P52;P52.2B;0;0;0
P53;P53.1A;0;0;0
P53;P53.1B;0;0;0
P53;P53.2A;0;0;0
P53;P53.2B;0;0;0
P54;P54.1A;29;19;48
P54;P54.1B;136;75;211
P54;P54.2A;0;0;0
P54;P54.2B;0;0;0
P55;P55.1A;0;0;0
P55;P55.1B;0;0;0
P55;P55.2A;0;0;0
P55;P55.2B;0;0;0
P56;P56.1A;0;0;0
P56;P56.1B;0;0;0
P56;P56.2A;0;0;0
P56;P56.2B;0;0;0
P57;P57.1A;59;8;67
P57;P57.1B;0;0;0
P57;P57.2A;15;123;138
P57;P57.2B;0;0;0
P58;P58.1A;0;0;0
P58;P58.1B;37;21;58
P58;P58.2A;0;0;0
P58;P58.2B;0;0;0
P59;P59.1A;9;0;9
P59;P59.1B;4;0;4
P59;P59.2A;31;0;31
P59;P59.2B;100;25;125
P60;P60.1A;0;0;0
P60;P60.1B;52;51;103
P60;P60.2A;186;19;205
P60;P60.2B;98;4;102
P61;P61.1A;0;0;0
P61;P61.1B;35;29;64
P61;P61.2A;0;0;0
P61;P61.2B;0;0;0
P62;P62.1A;0;0;0
P62;P62.1B;0;0;0
P62;P62.2A;0;0;0
P62;P62.2B;0;0;0
P63;P63.1A;0;0;0
P63;P63.1B;0;0;0
P63;P63.2A;9;5;14
P63;P63.2B;0;0;0
P64;P64.1A;781;374;1155
P64;P64.1B;364;326;690
P64;P64.2A;300;63;363
P64;P64.2B;0;0;0
P65;P65.1A;0;0;0
P65;P65.1B;0;0;0
P65;P65.2A;0;0;0
P65;P65.2B;185;25;210
P66;P66.1A;0;0;0
P66;P66.1B;24;0;24
P66;P66.2A;88;7;95
P66;P66.2B;0;0;0
P67;P67.1A;0;0;0
P67;P67.1B;0;0;0
P67;P67.2A;56;0;56
P67;P67.2B;18;9;27
P68;P68.1A;116;92;208
P68;P68.1B;0;0;0
P68;P68.2A;0;0;0
P68;P68.2B;0;0;0
P69;P69.1A;0;0;0
P69;P69.1B;48;6;54
P69;P69.2A;46;15;61
P69;P69.2B;90;103;193
P70;P70.1A;0;0;0
P70;P70.1B;0;0;0
P70;P70.2A;0;0;0
P70;P70.2B;58;0;58
P71;P71.1A;0;0;0
P71;P71.1B;0;0;0
P71;P71.2A;0;0;0
P71;P71.2B;0;0;0
P72;P72.1A;0;0;0
P72;P72.1B;0;0;0
P72;P72.2A;0;0;0
P72;P72.2B;235;52;287
P73;P73.1A;0;0;0
P73;P73.1B;0;0;0
P73;P73.2A;0;0;0
P73;P73.2B;0;0;0
P74;P74.1A;56;9;65
P74;P74.1B;31;7;38
P74;P74.2A;207;83;290
P74;P74.2B;129;80;209
P75;P75.1A;0;0;0
P75;P75.1B;0;0;0
P75;P75.2A;0;0;0
P75;P75.2B;0;0;0
P76;P76.1A;77;103;180
P76;P76.1B;108;3;111
P76;P76.2A;29;0;29
P76;P76.2B;18;0;18
P77;P77.1A;0;0;0
P77;P77.1B;179;0;179
P77;P77.2A;0;0;0
P77;P77.2B;53;0;53
P78;P78.1A;0;0;0
P78;P78.1B;0;0;0
P78;P78.2A;0;0;0
P78;P78.2B;6;5;11
P79;P79.1A;86;54;140
P79;P79.1B;433;403;836
P79;P79.2A;182;21;203
P79;P79.2B;165;119;284
P80;P80.1A;0;0;0
P80;P80.1B;573;73;646
P80;P80.2A;0;0;0
P80;P80.2B;3090;32;3122
P81;P81.1A;0;0;0
P81;P81.1B;0;0;0
P81;P81.2A;569;54;623
P81;P81.2B;911;42;953
P82;P82.1A;58;24;82
P82;P82.1B;59;35;94
P82;P82.2A;60;44;104
P82;P82.2B;42;56;98
P83;P83.1A;0;0;0
P83;P83.1B;132;10;142
P83;P83.2A;0;0;0
P83;P83.2B;85;38;123
P84;P84.1A;0;0;0
P84;P84.1B;23;0;23
P84;P84.2A;32;457;489
P84;P84.2B;33;67;100
P85;P85.1A;0;0;0
P85;P85.1B;38;8;46
P85;P85.2A;0;0;0
P85;P85.2B;0;0;0
P86;P86.1A;495;206;701
P86;P86.1B;81;32;113
P86;P86.2A;902;20;922
P86;P86.2B;225;44;269
P87;P87.1A;21;13;34
P87;P87.1B;14;0;14
P87;P87.2A;0;0;0
P87;P87.2B;20;0;20
P88;P88.1A;79;10;89
P88;P88.1B;443;26;469
P88;P88.2A;8,27;0;8,27
P88;P88.2B;26;0;26
P89;P89.1A;692;70;762
P89;P89.1B;547;0;547
P89;P89.2A;184;68;252
P89;P89.2B;1422;17;1439
P90;P90.1A;757,23;198,73;955,96
P90;P90.1B;117;0;117
P90;P90.2A;303,02;70,79;373,81
P90;P90.2B;91,39;0;91,39
P91;P91.1A;0;0;0
P91;P91.1B;84;6;90
P91;P91.2A;0;0;0
P91;P91.2B;0;0;0
P92;P92.1A;0;0;0
P92;P92.1B;0;0;0
P92;P92.2A;0;0;0
P92;P92.2B;0;0;0
P93;P93.1A;0;0;0
P93;P93.1B;8;0;8
P93;P93.2A;0;0;0
P93;P93.2B;0;0;0
P94;P94.1A;0;0;0
P94;P94.1B;0;0;0
P94;P94.2A;0;0;0
P94;P94.2B;0;0;0
P95;P95.1A;62,55;26,98;89,53
P95;P95.1B;16,23;0;16,23
P95;P95.2A;32;132;164
P95;P95.2B;35;0;35
P96;P96.1A;83;33;116
P96;P96.1B;130;17;147
P96;P96.2A;166;83;249
P96;P96.2B;243;95;338
P97;P97.1A;0;0;0
P97;P97.1B;0;0;0
P97;P97.2A;0;0;0
P97;P97.2B;0;0;0
P98;P98.1A;0;0;0
P98;P98.1B;2363;79;2442
P98;P98.2A;0;0;0
P98;P98.2B;499;0;499
P99;P99.1A;0;0;0
P99;P99.1B;37;0;37
P99;P99.2A;0;0;0
P99;P99.2B;0;0;0
P100;P100.1A;0;0;0
P100;P100.1B;0;0;0
P100;P100.2A;0;0;0
P100;P100.2B;421;27;448
P101;P101.1A;21;40;61
P101;P101.1B;45;0;45
P101;P101.2A;329;23;352
P101;P101.2B;238;39;277
P102;P102.1A;9;0;9
P102;P102.1B;0;0;0
P102;P102.2A;0;0;0
P102;P102.2B;0;0;0
P103;P103.1A;0;0;0
P103;P103.1B;16;0;16
P103;P103.2A;0;0;0
P103;P103.2B;0;0;0
P104;P104.1A;131;16;147
P104;P104.1B;443;4;447
P104;P104.2A;100;44;144
P104;P104.2B;108;19;127
P105;P105.1A;212;70;282
P105;P105.1B;182;30;212
P105;P105.2A;0;0;0
P105;P105.2B;0;0;0
P106;P106.1A;62,67;0;62,67
P106;P106.1B;63;0;63
P106;P106.2A;45;8,45;53,45
P106;P106.2B;32,09;32,08;64,17
P107;P107.1A;0;0;0
P107;P107.1B;0;0;0
P107;P107.2A;0;0;0
P107;P107.2B;0;0;0
P108;P108.1A;25;0;25
P108;P108.1B;0;0;0
P108;P108.2A;0;0;0
P108;P108.2B;0;0;0
P109;P109.1A;0;0;0
P109;P109.1B;0;0;0
P109;P109.2A;0;0;0
P109;P109.2B;0;0;0
P110;P110.1A;0;0;0
P110;P110.1B;40;0;40
P110;P110.2A;0;0;0
P110;P110.2B;0;0;0
P111;P111.1A;0;0;0
P111;P111.1B;0;0;0
P111;P111.2A;0;0;0
P111;P111.2B;0;0;0
P112;P112.1A;0;0;0
P112;P112.1B;0;0;0
P112;P112.2A;0;0;0
P112;P112.2B;264;2;266
P113;P113.1A;0;0;0
P113;P113.1B;0;0;0
P113;P113.2A;0;0;0
P113;P113.2B;-6318;0;-6318
P114;P114.1A;0;0;0
P114;P114.1B;568;0;568
P114;P114.2A;0;0;0
P114;P114.2B;0;0;0
P115;P115.1A;106;58;164
P115;P115.1B;131;10;141
P115;P115.2A;0;0;0
P115;P115.2B;0;0;0
P116;P116.1A;0;0;0
P116;P116.1B;75;150;225
P116;P116.2A;0;0;0
P116;P116.2B;0;0;0
P117;P117.1A;71;64;135
P117;P117.1B;244;0;244
P117;P117.2A;0;0;0
P117;P117.2B;0;0;0
P118;P118.1A;30;4;34
P118;P118.1B;117;25;142
P118;P118.2A;88;82;170
P118;P118.2B;84;4;88
P119;P119.1A;16;0;16
P119;P119.1B;38;0;38
P119;P119.2A;23;0;23
P119;P119.2B;123;10;133
P120;P120.1A;0;0;0
P120;P120.1B;0;0;0
P120;P120.2A;90;8;98
P120;P120.2B;146;32;178
P121;P121.1A;0;0;0
P121;P121.1B;236;25;261
P121;P121.2A;0;0;0
P121;P121.2B;0;0;0
P122;P122.1A;56;85;141
P122;P122.1B;20;0;20
P122;P122.2A;52;34;86
P122;P122.2B;41;22;63
P123;P123.1A;0;0;0
P123;P123.1B;0;0;0
P123;P123.2A;0;0;0
P123;P123.2B;57;14;71
P124;P124.1A;0;0;0
P124;P124.1B;0;0;0
P124;P124.2A;31;56;87
P124;P124.2B;42;116;158
P125;P125.1A;0;0;0
P125;P125.1B;0;0;0
P125;P125.2A;0;0;0
P125;P125.2B;0;0;0
P126;P126.1A;0;0;0
P126;P126.1B;0;0;0
P126;P126.2A;0;0;0
P126;P126.2B;0;0;0
P127;P127.1A;41;0;41
P127;P127.1B;211;21;232
P127;P127.2A;0;0;0
P127;P127.2B;0;0;0
P128;P128.1A;125,5;91,3;216,8
P128;P128.1B;26;73;99
P128;P128.2A;27;107;134
P128;P128.2B;10;51;61
P129;P129.1A;0;0;0
P129;P129.1B;0;0;0
P129;P129.2A;0;0;0
P129;P129.2B;0;0;0
P130;P130.1A;240;6;246
P130;P130.1B;110;12;122
P130;P130.2A;34;0;34
P130;P130.2B;2045;34;2079
P131;P131.1A;0;0;0
P131;P131.1B;0;0;0
P131;P131.2A;0;0;0
P131;P131.2B;0;0;0
P132;P132.1A;0;0;0
P132;P132.1B;0;0;0
P132;P132.2A;0;0;0
P132;P132.2B;63;0;63
P133;P133.1A;0;0;0
P133;P133.1B;3;0;3
P133;P133.2A;0;0;0
P133;P133.2B;0;0;0
P134;P134.1A;14;3;17
P134;P134.1B;61;59;120
P134;P134.2A;0;0;0
P134;P134.2B;0;0;0
P135;P135.1A;0;0;0
P135;P135.1B;0;0;0
P135;P135.2A;0;0;0
P135;P135.2B;0;0;0
P136;P136.1A;114;76;190
P136;P136.1B;62;41;103
P136;P136.2A;93;7;100
