SampleID;PID;TripID;Sample;RouteURL;NewRouteURL;Sendes til Aarhus;DOFAtlasQuadrantID;LandUSeType;subLandUseType;decimalLatitudeStart;decimalLongitudeStart;decimalLatitudeEnd;decimalLongitudeEnd;geodecticDatum;Date;StartTime;EndTime;Wind;Temperature;Notes;PilotNotes;Difficultroute;FullySampled;NotFullySampledRoute;DidNotReturnSampling;MissingTemperature;MissingWind;MissingDate;MissingTime;IncompleteTime;DifferentDatesForRoute;IncompleteDate;NotFullRoute;AlternativeRoute
P1.1A;P1;1A;sa1;https://goo.gl/maps/VrB2nz8KvCM2;;;2394;våd;strandeng, mose, eng, sø;;;;;;02-06-2018;12:40:00;13:05:00;Light Breeze 1.6-3.3;20-25;;Fine equipment in solid quality, thanks. No problems on the trip. Some insects in the big net at the end of the trip, but vi did close the net-end fast as discribed;;yes;;;;;;;;;;;
P1.1B;P1;1B;sa2;https://goo.gl/maps/VrB2nz8KvCM2;;;2394;våd;strandeng, mose, eng, sø;;;;;;02-06-2018;17:58:00;18:25:00;Gentle breeze 3.4-5.5;25-30;;No problems. Some insects in the big net, but vi did close the net-end quickly as discribed;;yes;;;;;;;;;;;
P1.2A;P1;2A;sa3;https://goo.gl/maps/DzyGqW8DizR2;;;2395;tør;hede;;;;;;08-06-2018;14:17:00;14:43:00;Light Breeze 1.6-3.3;25-30;Pilot noted 25 degrees - rounded up;The equipment is still fuctioning fine, but it is relative few and small insects that are present in the net-end;;yes;;;;;;;;;;;
P1.2B;P1;2B;sa4;https://goo.gl/maps/DzyGqW8DizR2;;;2395;tør;hede;;;;;;08-06-2018;18:30:00;18:54:00;Gentle breeze 3.4-5.5;20-25;;Nothing new;;yes;;;;;;;;;;;
P10.1A;P10;1A;sa1;https://goo.gl/maps/XxfFfJSxZQQ2;https://goo.gl/maps/Zi2t9U3aJSS2;x;;mark;intensive;;;;;;24-06-2018;12:15:00;12:35:00;Gentle breeze 3.4-5.5;20-25;Got new route. Quadrant and landusetype fits original route.;Cloudy (90%), hot weather.;;yes;;;;;;;;;;;
P10.1B;P10;1B;sa2;https://goo.gl/maps/XxfFfJSxZQQ2;https://goo.gl/maps/Zi2t9U3aJSS2;x;;mark;intensive;;;;;;24-06-2018;17:45:00;18:10:00;Light Breeze 1.6-3.3;20-25;Got new route. Quadrant and landusetype fits original route.;Cloudless;;yes;;;;;;;;;;;
P10.2A;P10;2A;sa3;https://goo.gl/maps/xoR1X9BPTow;;;5684;våd;mose, eng, sø;;;;;;09-06-2018;13:00:00;13:25:00;Light Breeze 1.6-3.3;25-30;;Some clouds high in the sky, under 1/4 of the sky. Large part of the route is a gravel road - max 20 km/h;;yes;;;;;;;;;;;
P10.2B;P10;2B;sa4;https://goo.gl/maps/xoR1X9BPTow;;;5684;våd;mose, eng, sø;;;;;;09-06-2018;17:10:00;17:35:00;Gentle breeze 3.4-5.5;25-30;;Some clouds high in the sky, thin clouds. See 2A;;yes;;;;;;;;;;;
P100.1A;P100;1A;sa1;https://goo.gl/maps/1BcHT3Z3wXQ2;;;3707;våd;eng, mose;;;;;;08-06-2018;12:40:00;13:00:00;Light Breeze 1.6-3.3;25-30;;Extreamly dry and lots of sunshine;;yes;;;;;;;;;;;
P100.1B;P100;1B;sa2;https://goo.gl/maps/1BcHT3Z3wXQ2;;;3707;våd;eng, mose;;;;;;08-06-2018;19:25:00;19:45:00;Light Breeze 1.6-3.3;20-25;;Some clouds;;yes;;;;;;;;;;;
P100.2A;P100;2A;sa3;https://goo.gl/maps/qNy6BTuZm1m;;;2775;tør;hede, overdrev;;;;;;26-06-2018;12:35:00;13:00:00;Gentle breeze 3.4-5.5;20-25;;Sunshine and blue sky all over :-);;yes;;;;;;;;;;;
P100.2B;P100;2B;sa4;https://goo.gl/maps/qNy6BTuZm1m;;;2775;tør;hede, overdrev;;;;;;26-06-2018;18:50:00;19:15:00;Gentle breeze 3.4-5.5;20-25;;Sunshine and blue sky. Lovely trip with lots of curious eyes. Thank you for letting me participate :-);;yes;;;;;;;;;;;
P101.1A;P101;1A;sa1;https://goo.gl/maps/RYrujWZ7tMQ2;;;3747;mark;intensive, extensive;;;;;;02-06-2018;13:00:00;13:22:00;Light Breeze 1.6-3.3;25-30;;;;yes;;;;;;;;;;;
P101.1B;P101;1B;sa2;https://goo.gl/maps/RYrujWZ7tMQ2;;;3747;mark;intensive, extensive;;;;;;02-06-2018;17:57:00;18:18:00;Light Breeze 1.6-3.3;25-30;;Saw a dragon fly;;yes;;;;;;;;;;;
P101.2A;P101;2A;sa3;https://goo.gl/maps/EFVdErKzjro;;;3737;mark;intensive, markblok;;;;;;24-06-2018;13:08:00;13:29:00;Gentle breeze 3.4-5.5;15-20;;;;yes;;;;;;;;;;;
P101.2B;P101;2B;sa4;https://goo.gl/maps/EFVdErKzjro;;;3737;mark;intensive, markblok;;;;;;24-06-2018;17:56:00;18:17:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P102.1A;P102;1A;sa1;https://goo.gl/maps/J3yt4RsqWC82;;;3740;urban;;;;;;;07-06-2018;14:10:00;14:30:00;Gentle breeze 3.4-5.5;25-30;;Carried out from the directions;;yes;;;;;;;;;;;
P102.1B;P102;1B;sa2;https://goo.gl/maps/J3yt4RsqWC82;;;3740;urban;;;;;;;07-06-2018;18:40:00;18:58:00;Light Breeze 1.6-3.3;25-30;;Everything after the plan;;yes;;;;;;;;;;;
P102.2A;P102;2A;sa3;https://goo.gl/maps/yYTbcUd7aTQ2;;;3839;mark;intensive, semi-intensive, markblok;;;;;;09-06-2018;13:46:00;14:07:00;Light Breeze 1.6-3.3;25-30;Pilot noted wind as windless;Driven after the plan. Windless a little cloudy;;yes;;;;;;;;;;;
P102.2B;P102;2B;sa4;https://goo.gl/maps/yYTbcUd7aTQ2;;;3839;mark;intensive, semi-intensive, markblok;;;;;;09-06-2018;18:53:00;19:13:00;Light Breeze 1.6-3.3;25-30;Pilot noted wind as windless;Everything after the plan. Windless a little cloudy;;yes;;;;;;;;;;;
P103.1A;P103;1A;sa1;https://goo.gl/maps/BdCpH6DaWhL2;;;3692;mark;intensive, semi-intensive, extensive;;;;;;03-06-2018;12:55:00;13:20:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P103.1B;P103;1B;sa2;https://goo.gl/maps/BdCpH6DaWhL2;;;3692;mark;intensive, semi-intensive, extensive;;;;;;03-06-2018;17:20:00;17:42:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P103.2A;P103;2A;sa3;https://goo.gl/maps/r2VCU4nSGRo;;;3682;våd;eng, mose;;;;;;07-06-2018;12:00:00;12:11:00;Gentle breeze 3.4-5.5;20-25;;Sunshine;;yes;;;;;;;;;;;
P103.2B;P103;2B;sa4;https://goo.gl/maps/r2VCU4nSGRo;;;3682;våd;eng, mose;;;;;;07-06-2018;19:07:00;19:17:00;Light Breeze 1.6-3.3;20-25;;The biggest catch;;yes;;;;;;;;;;;
P104.1A;P104;1A;sa1;https://goo.gl/maps/G72e1Nhzu5M2;;;3652;skov;;;;;;;24-06-2018;14:25:00;14:52:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
